Category;SubCategory;Acronym;Organisation-FR;Description;Address;Apartment;City;Province;Postal Code;Métro;Sunday;Monday;Tuesday;Wednesday;Thursday;Friday;Saturday;OpenHours;Phone1;Phone2;Fax;Website;Email;Notes
Employment;JobSearch;;Emploi Québec;Emploi-Québec is an independent service unit that has signed a performance and accountability agreement with the Minister of Employment and Social Solidarity and the Commission des partenaires du marché du travail. With a significant budget and considerable human resources, it is a major government agency. Emploi-Québec strives to help the Québec government achieve its objectives by promoting a competitive economy and social solidarity.;6655, chemin de la Côte-des-Neiges, 3e étage;;Montréal;Québec;H3S 2B4;;;08h30-16h30;08h30-16h30;10h00-16h30;08h30-16h30;;;Lundi, mardi, jeudi, vendredi 08h30 à 16h30, mercredi 10h00 à 16h30;(514) 872-6530;;;http://www.emploiquebec.gouv.qc.ca/en/;;
Employment;JobSearch;;Hirondelle (Services d'Accueil et d'Intégration des Immigrants);Nous facilitons l’accueil des nouveaux arrivants ainsi que leur intégration sociale et leur insertion dans le marché du travail. Nous impliquons activement les Québécois de longue date et les acteurs des milieux publics, privés et communautaires dans l’intégration des personnes immigrantes à leur nouveau milieu de vie.;4652, rue Jeanne Mance, 2e et 3 e étages;;Montréal;Québec;H2V 4J4;;;09h00-17h00;09h00-17h00;09h00-17h00;09h00-17h00;09h00-17h00;;Lundi à vendredi 9h-12h, 13h-17h;(514) 281-2038;;;https://www.hirondelle.qc.ca/;administration@hirondelle.qc.ca;Services pour les nouvelles arrivantes <5 ans.
Employment;JobSearch;;Petites Mains (formation en couture industrielle);PETITES-MAINS est une entreprise d'insertion qui vient en aide aux personnes qui sont en situation d'exclusion sociale, principalement les femmes immigrantes. Elle aide ces femmes à sortir de leur isolement et à échanger avec d’autres tout en apprenant un métier qui facilitera leur intégration dans le marché du travail. Ces femmes peuvent ainsi continuer à vivre en dignité dans la société.;7595, boulevard Saint-Laurent;;Montréal;Québec;H2R 1W9;;;;;;;;;;(514) 738-8989;;;;info@petitesmains.com;
EmploymentInsurance;;;Service Canada Center ;"Services Offered: All Canadians: Job Bank, Labour Market Information, Passport Application, Social Insurance Number Application - Employers and Organizations: Labour Market Information - Families and Children: Employment Insurance special benefits for Parents of Critically Ill Children  - Labour and Workplace Information: Wage Earner Protection Program- Newcomers to Canada: Foreign Credentials Referral  - Seniors: Allowance Program, Allowance for the Survivor Program, Canada Pension Plan Retirement Pension, Canadian Government Annuities, Guaranteed Income Supplement, International Benefits, Old Age Security - Veterans: Veterans Affairs Canada - Workers: Career Planning, Employment Insurance Regular Benefits - Youth and Students: Canada Summer Jobs (CSJ)";5160, boulevard Décarie, #700 (Métro: Snowdon)Montréal, Québec   H3X 2T8;#700;;;;Snowdon;;08h30-16h00;08h30-16h00;08h30-16h00;08h30-16h00;08h30-16h00;;Lundi à vendredi 08h30 à 16h00;1 800 206-7218;1 800 808-6352;;;;Territoirse desservis: Côte-des-Neiges, Côte- Saint-Luc, Saint Laurent, Dorval, Hamstead, Westmount, Mont-Royal, Notre-Dame-de-Grâce, Outremont, West Island.
EmploymentInsurance;;;Service Canada Center - Downtown office;"Complexe Guy Favreau Services Offered All Canadians: Job Bank, Labour Market Information, Passport Application, Social Insurance Number Application Employers and Organizations: Labour Market Information Families and Children: Employment Insurance special benefits for Parents of Critically Ill Children Labour and Workplace Information: Wage Earner Protection  Program Newcomers to Canada: Foreign Credentials Referral Seniors: Allowance Program, Allowance for the Survivor Program, Canada Pension Plan Retirement Pension, Canadian Government Annuities, Guaranteed Income Supplement, International Benefits, Old Age Security Veterans: Veterans Affairs Canada Workers: Career Planning, Employment Insurance Regular benefits Youth and Students: Canada Summer Jobs (CSJ)";200, boulevard René Lévesque Ouest (Métro: Beaudry);;Montréal;Québec;H2Z 1X4;Beaudry;;08h30-16h00;08h30-16h00;08h30-16h00;08h30-16h00;08h30-16h00;;Lundi à vendredi 08h30 à 16h00.;(514) 522-4444;1 800 206-7218;(514) 283-6085;http://www.servicecanada.gc.ca/tbsc-fsco/sc-dsp.jsp?lang=fra&rc=2879;;Territoirse desservis: Downtown/Southwest Montreal, Ville Marie, Centre-Sud, Plateau Mont-Royal, Rosemont, Lasalle
CommunityOrganizations;;;Comité chômage de Montréal;"Le Comité Chômage de Montréal (CCM) est une organisation qui informe et qui défend les droits des chômeurs et des chômeuses. Un peu comme un syndicat qui regroupe des travailleurs et qui défend leurs droits autant sur le plan individuel que collectif, pour l’amélioration des salaires et des conditions de travail, le Comité Chômage informe les gens, et représente un outil important en matière de défense des droits.";3734, avenue du Parc;;Montréal;Québec;H2X 2J1;;;13h00-16h30;13h00-16h30;13h00-16h30;13h00-16h30;13h00-16h30;;Sur rendez-vous et par téléphone de 13h00 à 16h30;(514) 933-5915;;(514) 933-4074;https://comitechomage.qc.ca/;ccm@comitechomage.qc.ca;
CommunityOrganizations;;;Comité chômage Est de Montréal;Fondé en 1987, le Comité Chômage de l’Est de Montréal s’est donné comme but premier d’informer et de soutenir gratuitement les travailleurs et travailleuses aux prises avec des questions et des problèmes de chômage. Il est ainsi possible de nous contacter afin d’obtenir des renseignements trop souvent inaccessibles dans les bureaux de Service Canada.;1691, boulevard Pie IX, bureau 302;bureau 302;Montréal;Québec;H1V 2C3;;;;10h00-16h00;10h00-16h00;10h00-16h00;;;Mardi à jeudi 10h00 à 12h00 et 13h30 à 16h00;(514) 521-3283;;;http://boussolejuridique.ca/;ccem@ccem.ca;
CommunityOrganizations;;;Mouvement action chômage;"Quoi? Appuyer les personnes ayant perdu leur emploi dans leurs démarches pour faire valoir leurs droits et obtenir des prestations d’assurance-emploi, leur expliquer la législation sur l’assurance-emploi et militer pour une bonification du régime ainsi qu’une politique juste et réaliste de création d’emploi. Comment? Information et référence, service d’information téléphonique, accompagnement, suivi individuel, formation des intervenants sociaux, rencontres d’information collectives, publication d’un journal, éducation populaire (communications et action communautaire).";6839A, rue Drolet, 3e étage  (Métro: Jean Talon);;Montréal;Québec;H2S 2T1;Jean-Talon;;;13h00-15h00;17h00-20h00;13h00-15h00;;;Service par téléphone: mardi, jeudi 13h00 à 15h00, mercredi 17h00 à 20h00.;(514) 271-4099;;;;;
CommunityOrganizations;;;Mouvement action chômage Longueuil;La mission d'OTLM, qui bat son plein chaque année durant le mois d'août, un peu avant la rentrée, vise principalement à ramasser des effets scolaires pour les écoliers et le écolières dont les familles sont dans l'incapacité financière de répondre aux coûts relatifs à l'éducation de leurs enfants;1194, rue Marquette;;Longueuil;Québec;J4K 4H8;;;;;;;;;;(450) 670-7615;;;;info@macl.org;Heures limitées-Appeler avant /Limited hours - call first
FamilyBenefits;;;Soutien aux enfants - Régie des rentes du Québec (RRQ);"Retraite Québec administre le Régime de rentes du Québec, les régimes de retraite du secteur public et l'Allocation famille. Elle assure aussi l'encadrement des régimes complémentaires de retraite et des régimes volontaires d'épargne-retraite. De plus, elle fait la promotion de la planification financière de la retraite. Par sa mission, Retraite Québec concourt à l'évolution du système de retraite et contribue à la sécurité financière des Québécoises et des Québécois.";1055, boulevard René Lévesque Est, 4e étage;;Montréal;Québec;H2L 4S5;;;;;;;;;;(514) 864-3873;(514) 873-4455**;(514) 873-4408;https://www.retraitequebec.gouv.qc.ca/fr/Pages/accueil.aspx;;Par courrier / By mail: Case postale 7777 // Québec, Québec G1K 7T4
FamilyBenefits;;;Prestation fiscale canadienne pour enfants (PFCE);"Programmes de prestations, admissibilité, comment faire une demande, dates de versement. Services et renseignements: Dates de versement des prestations, Aperçu des prestations pour enfants et familles, Crédit pour la TPS/TVH, Allocation canadienne pour enfants, Prestation fiscale pour le revenu de travail,  provinciales et territoriales, Allocations spéciales pour enfants, Prestation pour enfants handicapés, Crédit d’impôt pour personnes handicapées, Séance d’information offerte par le programme de visibilité de l’Agence du revenu du Canada";305, boulevard René Lévesque Ouest (pour déposer les docs);;Montréal;Québec;H2Z 1A6;;;;;;;;;;1 800 387-1194;1 800 387-1193;1 819 536-7078;https://www.canada.ca/fr/agence-revenu/organisation/coordonnees/bureau-services-fiscaux-montreal.html;;Par courrier / By mail: Shawinigan-Sud Tax Centre // 4695 Shawinigan-Sud Boulevard // Shawinigan QC  G9P 5H9
FamilyBenefits;;;Prime au travail;"Aide financière pour les travailleurs à faible revenu / Financial assistance for low income workers Revenu Québec - Complexe Desjardins. Partir vivre dans un nouveau pays nécessite forcément de préparer minutieusement son départ et spécialement son installation à l’arrivée. Akova propose des Services de Relocation pour offrir aux immigrants l’assurance d’une intégration sociale et professionnelle réussie. Nous nous appuyons donc sur un réseau de partenaires de confiance qui ont une longue expérience d’accompagnement. Ne vous souciez plus de rien: nous vous prenons en charge dès le début (accueil à l’aéroport, recherche de logement, d’écoles, de garderies, de voiture, obtention des principaux documents administratifs et ouverture d’un compte bancaire).";;;Montréal;Québec;H5B 1A4;;;;;;;;;;1 855 291-6467;(514) 873-4455**;;;;
FamilyBenefits;;;Crédit d’impôt pour frais de garde - Revenu Québec ;"Nous percevons les impôts et les taxes et administrons les programmes et les services que nous confie le gouvernement. En tant que responsables de l'administration de la fiscalité, nous devons nous assurer que chaque citoyen paie les sommes qu'il doit à l'État. Nous jouons ainsi un rôle essentiel au sein de l'appareil gouvernemental en percevant les revenus nécessaires au financement des services publics. De plus, nous permettons aux citoyens d'avoir rapidement accès aux sommes auxquelles ils ont droit.";;;;;;;;08h30-16h30;08h30-16h30;10h00-16h30;08h30-16h30;08h30-16h30;;Lundi, mardi, jeudi, vendredi 08h30 à 16h30, mercredi 10h00 à 16h30;(514) 940-1481;(514) 873-4455**;;;;
FamilyBenefits;;;Allocation logement;"* Administration of Québec's tax system through the collection of income tax and consumption taxes. * Administration of programs and services related to income: tax credits, housing benefit, work bonus, maintenance allowances, provisional administration of unclaimed property, Registraire des Entreprises.";3, Complexe Desjardins, Tour Nord;;Montréal;Québec;H5B 1A2;;;;;;;;;;(514) 940-1481;1 855 291-6467;(514) 873-2916;;;Par courrier / By mail: Ministère du revenu du Québec  // C.P. 6800, Succ. Desjardins // Montréal, Québec   H5B 1J5
FamilyBenefits;;;Directeur de l'État civil;"C'est auprès du Directeur de l’état civil que les citoyens du Québec peuvent obtenir les documents officiels relatifs aux événements d'état civil, c'est-à-dire les certificats, les copies d'actes ainsi que les attestations de naissance, de mariage, d'union civile et de décès. L’organisation relève du ministère du Travail, de l'Emploi et de la Solidarité sociale. Elle est dirigée par le directeur de l’état civil, le seul officier public de l’état civil au Québec, dont le mandat est prévu par le Code civil du Québec. Le directeur de l'état civil a les responsabilités suivantes : Adresser les actes relatifs aux naissances, mariages, union civiles et décès ayant eu lieu au Québec -tenir le registre de l'état civil du Québec et y apporter les modifications nécessaires - garder le registre de l'état civil du Québec et en assurer la publicité en délivrant les certificats, copies d'actes et attestations relatifs aux événements d'état civil - insérer au registre de l'état civil du Québec les actes d'état civil faits hors du Québec concernant des personnes domiciliées au Québec et les actes juridiques modifiant ou remplaçant des actes déjà insérés au registre  - autoriser la consultation du registre de l'état civil du Québec - tenir un registre des personnes autorisées à célébrer les mariages et les unions civiles - analyser les demandes de changement de nom ou de changement de la mention du sexe et accorder ou non de tels changements.";2050, rue Bleury, rez-de chaussée;;Montréal;Québec;H3A 2J5;Place des Arts;;08h30-16h30;08h30-16h30;10h00-16h30;08h30-16h30;08h30-16h30;;Lundi à vendredi: 8h30 à 16h30,  mercredi 10h00 à 16h30;(514) 644-4545;1 877 644-4545;(514) 864-4640;http://www.etatcivil.gouv.qc.ca/en/default.html;;Par courrier / By mail: 2535 boulevard Laurier // Québec (Québec) G1V 5C5
FamilyBenefits;;;Ministère de la famille et de l’enfance;"Services offered: - Financial aid for Family Community Organizations  - Measures for integrating a disabled child into a childcare centre - Work premium - Infrastructure funding program - Reduced-contribution space program for children from 0 to less than five years old, offered by subsidized childcare services - Support Program for Childcare Projects during School Breaks and Summer Vacation- Family community action support program - Municipal family policy support program - Financial Support Program for Activities to Promote Co-parenting - Financial Support Program for Emergent Literacy, Writing and Mathematics Activities- Financial support program for surveillance services for disabled students 12 to 21 years old - Financial support program for community drop-in childcare services - Financial Support Program for Reconciliation of Work, Family Life and Education, aimed at certain education milieus for student-parents - Financial Support Program for Work-Family Reconciliation (Employers)- Financial Support Program to Encourage Parental Participation- Financial Support Program to Improve the Quality of Childcare Services - Child assistance ";600, rue Fullum;;Montréal;Québec;H2K 4S7;;;;;;;;;;(514) 873-9342;1 877 216-6202;(514) 873-9395;https://www.mfa.gouv.qc.ca/fr/Pages/index.aspx;;Info on daycare, daycare subsidies, addresses of existing daycares To register for a 7$/day daycare: www.laplace0-5.com
FamilyBenefits;;;Régime québécois d’assurance parentale / QPIP;"he QPIP is set up to pay benefits to all eligible workers - salaried and/or self-employed - taking maternity leave, paternity leave, parental leave or adoption leave.It replaces the maternity, parental or adoption benefits previously provided to Québec parents under the federal employment insurance plan.";;;;;;;;;;;;;;;1 888 610-7727;;;https://www.rqap.gouv.qc.ca/;;**TTY is a phone service for deaf or hard of hearing people.
Women;;;AMAL Women Centre (Centre for Muslim Women);"Centre promoting the individual and familial welfare of women. * Psychosocial support for domestic violence or familial conflicts victims, individual counselling. * Workshops on issues faced by Muslim women and on domestic abuse in visible minority communities. * Information and referral, accompaniment to legal and health appointments. * Art-therapy workshops. * Counselling on multicultural cases for community organizations. * Awareness to domestic violence.";903, Boul Décarie, Suite 204;Suite 204;Ville St. Laurent;Québec;H4L 3N3;;;09h30-14h30;09h30-14h30;09h30-14h30;09h30-14h30;;;Lundi à jeudi : 9h30 – 14h30;(514) 855-0330;;;;amalwomencenter@yahoo.ca;. Halal food basket program (once monthly – need to bring bills, lease, proof of income), referrals, crisis counselling, follow up around domestic violence.
Women;;;Centre des femmes de Montréal - Women’s Centre of Montreal;La Fondation a pour objectif d'assister « le Centre dans ses opérations, solliciter de toutes manières permises par la loi et recevoir de toute personne, société, compagnie, corporation ou autre, des deniers ou contribution par donation, legs ou autrement aux fins de réaliser les buts de la Fondation, acquérir par voie de subventions, dons, legs, achats ou autrement, tous les biens meubles ou immeubles quelqu'en soit la description, ainsi que détenir, administrer louer ou échanger lesdits biens et en disposer par vente ou autrement, donner par voie de subventions, dons, ou autre moyen, quelque assistance que ce soit au Centre. »;3585, rue Saint-Urbain;;Montréal;Québec;H2X 2N6;;;09h00-17h00;09h00-21h00;09h00-17h00;09h00-21h00;09h00-17h00;;Lundi, mercredi, vendredi 09h00 à 17h00, mardi, jeudi 09h00 à 21h00;(514) 842-4781;;;https://centredesfemmesdemtl.org/;spl@centredesfemmesdemtl.org;
Women;;;Centre des femmes d’ici et d’ailleurs;"Briser l’isolement des femmes de toutes origines. Développer l’autonomie des femmes de toutes origines, socio-économiquement défavorisées et leur donner les moyens d’améliorer leurs conditions de vie et de travail dans une perspective de prise en charge individuelle et collective.";8043, rue Saint-Hubert (Metro: Jarry);;Montréal;Québec;H2R 2P4;Jarry;;;;;;;;;(514) 495-7728;;;http://cdfia.net/;cdf.iciailleurs@bellnet.ca;
Women;;;Femmes du monde à Côte-Des-Neiges;Femmes du monde à Côte-des-Neiges est un centre de femmes qui a comme mission d’offrir un lieu de rencontre, de solidarité, d’entraide, d’échange et de rapprochement entre femmes. Notre travail a comme objectif de favoriser l’intégration de toutes les femmes à la communauté et d’encourager leur participation citoyenne. Nous militons pour informer et sensibiliser la population aux conditions de vie des femmes et à la défense de leurs droits.;6767, chemin de la Côte-des-Neiges, bureau 597;bureau 597;Montréal;Québec;H3S 2T6;;;09h00-17h00;13h00-17h00;09h00-17h00;09h00-17h00;;;Lundi, mercredi, jeudi 09h00 à 17h00 , mardi 13h00 à 17h00 , vendredi fermé;(514) 735-9027;;;http://www.femmesdumondecdn.org/;fdmcdn@rocler.com;
Women;;;Centre des victimes d’agression sexuelle de Montréal;Le CVASM prend part à diverses actions dans la communauté principalement en partageant son expertise au sein de comités, d'associations et de lieux de concertation.;1801, boulevard de Maisonneuve Ouest, bureau 600;bureau 600;Montréal;Québec;H3H 1J9;;;;;;;;;;1 888 933-9007;(514) 934-4504;;http://cvasm.org/en/;;
Women;;;Projet Chance (pour mères célibataires qui sont étudiantes à plein temps);"Programme de logement subventionné. * Consultation individuelle. * Ateliers éducatifs. * Information et référence. * Activités sociales et récréatives.";3950, rue Cavendish, bureau 17;bureau 17;Montréal;Québec;H4B 2N3;;;;;;;;;;(514) 934-6199;(514) 934-1666;;;;CEGEP, University or other professional cours, femmes 18-35 ans.
Women;;;SOS Violence conjugale;Au service de l’ensemble de la population du Québec depuis 1987, SOS violence conjugale offre des services d’accueil, d’évaluation, d’information, de sensibilisation, de soutien et de référence bilingues, gratuits, anonymes et confidentiels 24h sur 24 – sept jours sur sept aux victimes de violence conjugale et à l’ensemble des personnes concernées par cette problématique. SOS violence conjugale souhaite ainsi contribuer à améliorer la sécurité de toutes les victimes de violence conjugale. Ces services sont disponibles par téléphone, par ATS pour personnes sourdes ou encore par courriel.;;;;;;;;;;;;;;;514) 728-0023;1 800 363-9010;;http://www.sosviolenceconjugale.ca/;sos@sosviolenceconjugale.ca;
Women;;;Auberge Shalom;"Auberge Shalom pour femmes est un centre communautaire juif ayant pour mission de répondre aux besoins de toutes les femmes touchées par la violence conjugale et leurs enfants. Nous offrons une gamme de services professionnels dispensés à la fois en maison d’hébergement et par l’entremise d’un bureau externe de consultation et de ressources. Tous ces services sont offerts dans un environnement sécuritaire, où dominent le respect de la confidentialité, l’écoute et le soutien. Auberge Shalom s’emploie à rompre le cycle de la violence conjugale par l’éducation, la prévention et la défense des droits.";386, Succursale Snowdon;;Montréal;Québec;H3X 3Y1;;;;;;;;;;514) 731-0833;(514) 485-4783;;http://aubergeshalom.org/;infoaspf@videotron.ca;Counselling, resource and shelter
Women;;;La Mission Bon Accueil;Fondée en 1892, Mission Bon Accueil est devenue la plus grande porte d’entrée pour venir en aide aux Montréalais dans le besoin. Plusieurs programmes de soutien sont offerts aux sans-abris, aux jeunes mères, aux familles démunies et aux jeunes en difficultés. La Mission vise à donner de l’espoir par des actions concrètes et des solutions efficaces.;1148, rue Beaudry;;Montréal;Québec;H2L 3E5;;;;;;;;;;(514) 904-1346;;(514) 904-2638;https://welcomehallmission.com/;;Services aux familles: lundi à vendredi 09h00 à 16h00 (effets de scolaire, camp d’été) Banque de nourriture: mardi et vendredi 09h00 à 12h00 (13h00 et 15h00 sur rendez-vous) Consultations: lundi à vendredi 09h00 à 15h00 (assistance sociale, immigration, logements, bien-être, problèmes familiaux, personnes en crise)
Immigration;;;Centre d’immigration Canada;"Apply to travel, study, work or immigrate to Canada, apply for citizenship, a permanent resident card or refugee protection, check the status of your application or find a form. Find out what immigration programs you can apply for, sponsor your family and use a representative.";1010, rue Saint-Antoine Ouest, 2e étage;;Montréal;Québec;H3C 1B2;Bonaventure;;08h30-16h30;08h30-16h30;08h30-16h30;08h30-16h30;08h30-16h30;;Lundi à vendredi 08h30 à 16h30;1 888 242-2100;;(514) 496-1881;www.cic.gc.ca;;Everything must be done by phone or fax, cannot meet anyone at the office
Immigration;;;Immigration Québec – MIDI;"Ministère de l’Immigration de la Diversité et de l'Inclusion. Offre plusieur service adaptee a vos besoins. Programmes D'immigration:  - Informe, recrute et sélectionne des candidats à l'immigration permanente et temporaire en fonction des besoins démographiques et économiques de la société québécoise et de sa capacité d'accueil,  - Facilite la réunification familiale entre les résidants québécois et les membres de leur famille et s'assure du respect des engagements pris à cet égard, - Participe à l'effort de solidarité internationale à l'égard des réfugiés et autres personnes en situation semblable.";285, rue Notre-Dame Ouest, 4e étage;;Montréal;Québec;H2Y 1T8;;;;;;;;;;(514) 864-9191;;;www.immigration-quebec.gouv.qc.ca/;;Only a mailing address. No one will see you at this address. There are no longer any physical offices for Immigration Quebec. All forms can be found online. Any questions can be answered over the phone.
Immigration;;;Pour transmettre des documents relatifs aux services de la francisation :;Direction du registraire et des services en ligne;800, boulevard de Maisonneuve Est, bureau 301;bureau 301;Montréal;Québec;H2L 4L8;;;;;;;;;;;;;;;
Immigration;;;MIDI Siège social;"Ministère de l’Immigration de la Diversité et de l'Inclusion. Offre plusieur service adaptee a vos besoins. Programmes D'immigration: - Informe, recrute et sélectionne des candidats à l'immigration permanente et temporaire en fonction des besoins démographiques et économiques de la société québécoise et de sa capacité d'accueil, - Facilite la réunification familiale entre les résidants québécois et les membres de leur famille et s'assure du respect des engagements pris à cet égard, - Participe à l'effort de solidarité internationale à l'égard des réfugiés et autres personnes en situation semblable.";360, rue McGill;;Montréal;Québec;H2Y 2E9;;;;;;;;;;(514) 864-9191;;;www.immigration-quebec.gouv.qc.ca/;;
Passport;;;Bureau des passeports;Service et renseignments sur l'obtention ou renouvelement d'un passport canadien. Toutes informations sur le processus, delais, photo et formulaire pour obtenir le passport sont fournir sur leur site web.;200, rue René-Lévesque Ouest, Tour Ouest, 8e étage, bureau 130;bureau 130;Montréal;Québec;H2Z 1X4;Place d'Armes;;07h30-16h30;07h30-16h30;07h30-16h30;07h30-16h30;07h30-16h30;;Lundi à vendredi 07h30 à 16h30;1 800 567-6868;;;www.passeport.canada.ca;;
Passport;;;Bureau des passeports;Service et renseignments sur l'obtention ou renouvelement d'un passport canadien. Toutes informations sur le processus, delais, photo et formulaire pour obtenir le passport sont fournir sur leur site web.;2089, boulevard Marcel Laurin, bureau 100;bureau 100;Ville St-Laurent;Québec;;;;07h30-16h30;07h30-16h30;07h30-16h30;07h30-16h30;07h30-16h30;;Lundi à vendredi 07h30 à 16h30;;;;www.passeport.canada.ca;;
Passport;;;Multi-Écoute (Help filling out passport applications- $10/form);;3600, rue Barclay, bureau 460;bureau 460;Montréal;Québec;H3S 1K5;;;;;;;;;;(514) 737-3604;;(514) 737-5631;;;
CommunityOrganizations;;ALAC;ALAC;Notre organisme compte une équipe de professionnels engagés qui offrent des services visant l’amélioration de la qualité de vie de ses participants. Chez ALAC, vous trouverez des professionnels en services sociaux, administration sociale, psychologie, orientation de carrière, etc.;5165, chemin Queen Mary, bureau;;Montréal;Québec;H3W 1X7;;;;;;;;;;(514) 737-3642;;;https://www.alac.qc.ca/;info@alac.qc.ca;
CommunityOrganizations;;ALPA;ALPA (Accueil liaison pour arrivants);"MISSION: Offrir des services personnalisés d’intégration, de francisation et d’aide à l’emploi aux personnes immigrantes pour qu’elles concrétisent leurs rêves et contribuent à la prospérité du Québec et de ses régions. VALEURS: Humanisme : Mettre en valeur et favoriser le développement des qualités de l'être humain. Crédibilité : Inspirer la confiance et le respect par la qualité des services offerts et par le professionnalisme de son personnel. Collaboration : Travailler en équipe, nouer des liens avec des partenaires clés, et cultiver des relations où chacun trouve son compte. Innovation : Réévaluer ses façons de faire afin d’améliorer en continu les manières d’atteindre les objectifs. Performance : Mettre la personne immigrante et l’organisme en position de réussite en fixant des objectifs de rendement élevés, mais réalisables.";2030, boulevard Pie IX, bureau 309;bureau 309;Montréal;Québec;H1V 2C8;;;08h00-16h00;08h00-16h00;08h00-16h00;08h00-16h00;08h00-16h00;;Lundi à vendredi 8h-16h00;(514) 255-3900;;(514) 255-6455;https://www.alpaong.com/;;
CommunityOrganizations;;CARI;CARI (Centre d’accueil et de référence pour immigrants);"What? Facilitate the personal, social and employment integration of immigrants and intervene at all stages of their settlement while adapting services to their needs and to the realities of Quebec society. How? Welcoming, information and referral, continuing education (crafts, sewing and computer workshops, information sessions on Quebec society, lectures on various topics), French-language courses, job readiness development, intercultural pairing, affordable housing search, collective international kitchens, summer camps, respite centre, women’s committee, family and cultural outings, enhancement of the parental role.";774, boulevard Décarie;;Ville Saint-Laurent;Québec;H4L 3L5;Du College;;09h00-17h00;09h00-17h00;09h00-17h00;09h00-17h00;09h00-17h00;;Lundi à vendredi 9h à 12h , 13h-17h. Sur RDV.;(514) 748-2007;;(514) 748-2766;http://www.centraide-mtl.org/en/;carist@cari.qc.ca;Clientèle : Toutes catégories. Services / Activités : Aide à remplir les formulaires (frais minimimes pour Res.Perm. 5+ années) , programme «Famille et rapprochement interculturel » (logement, budget, inscription à écoles, etc) , cours de francisation , recherche d’emploi , cliniques d’impôt pour familles à faible revenue (moins $26,000/année, frais de $5) , clinique juridique une fois par mois (par RDV) , activités de jumelage, artisanat, informatique.
CommunityOrganizations;;CLAM;CLAM (Carrefour de liaison et d’aide multi-ethnique);"La mission principale du CLAM est de développer des projets et activités qui favorisent l’établissement et l’intégration socio-économique des personnes immigrantes. Dans ce sens, ses principaux mandats portent d’une part sur le développement des services et programmes visant à favoriser l’intégration de nouveaux arrivants et immigrants à leur nouveau cadre de vie, et d’autre part à sensibiliser la population québécoise à la réalité des communautés ethnoculturelles. Ainsi, dans le cadre de sa mission, le CLAM s’investit dans de nombreux domaines d’intervention dont, entre autres: l’accueil des nouveaux arrivants et la nécessité de répondre à leurs besoins immédiats - la promotion et l’accompagnement des nouveaux arrivants et immigrants dans la recherche et l’utilisation des ressources offertes par leur milieu de vie -  le développement des initiatives locales qui visent à une meilleure intégration des clientèles immigrantes -  la promotion de l’élaboration et de la mise en œuvre de politiques favorisant des services adaptés aux réalités des nouveaux arrivants et immigrants, dans les domaines tels que l’emploi, l’éducation, la santé, les services sociaux, etc.";7290, rue Hutchison, 2e étage;;Montréal;Québec;H3N 1Z1;Parc;;09h00-17h00;09h00-17h00;09h00-17h00;09h00-17h00;09h00-17h00;;Lundi à vendredi 9h00-17h00.;(514) 271-8207;;(514) 271-8254;https://www.leclam.ca;clam@bellnet.ca;
CommunityOrganizations;;CSAI;CSAI (Centre social d’aide aux immigrants);Accompagner les personnes immigrantes et les réfugiés pris en charge par l’État dans leur démarche d’une intégration et d’une participation active à la société d’accueil en favorisant la vie associative et le rapprochement intercommunautaire et interculturel.;6201, rue Laurendeau;;Montréal;Québec;H4E 3X8;Jolicoeur;;08h30-16h30;08h30-16h30;08h30-16h30;08h30-16h30;08h30-16h30;;Lundi à vendredi 08h30 à 16h30. Peux faire des rendez-vous sur ligne.;(514) 932-2953;;(514) 932-4544;centrecsai.org/contact-csai;;
CommunityOrganizations;;CSAI;CSAI (Centre social d’aide aux immigrants);Accompagner les personnes immigrantes et les réfugiés pris en charge par l’État dans leur démarche d’une intégration et d’une participation active à la société d’accueil en favorisant la vie associative et le rapprochement intercommunautaire et interculturel.;3782, rue Wellington;;Montréal;Québec;H4E 3X8;De l'église;;08h30-16h30;08h30-16h30;08h30-16h30;08h30-16h30;08h30-16h30;;Lundi à vendredi 08h30 à 16h30. Ils offrent tous les services de CSAI sauf sur l’emploi;(514) 761-3333;;(514) 761-1463;centrecsai.org/contact-csai;;Services offertes en français, anglais, créole, arabe, espagnol, serbo-croate, dari, persan. Clientèle : Résidents permanents depuis moins de 5 ans, réfugiés. Services / Activités : Accueil et intervention psycho sociales , Information sur les aspects légaux de l’immigration, sur la protection des droits reconnus et les différents systèmes : santé, scolaire, judicaires , cours de francisation , cours d’informatique , recherche d’emploi et de logements , Clinique d’impôt pour familles à faible revenu (prendre RDV).
